log_text,location,category,severity,action_taken,date,"log_text,location,category,severity,action_taken,date"
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,Medium,Inspected ductwork,2024-05-31,
Electrical issue at Lecture Hall A: power outage.,Lecture Hall A,Electrical,High,Replaced fuse,2024-06-08,
Network issue at Main Library: access point not responding.,Main Library,Network,Low,Restarted access point,2024-03-15,
Mechanical issue at Block C Restroom: control panel unresponsive.,Block C Restroom,Mechanical,High,Replaced worn relay,2024-03-27,
Plumbing issue at Sports Hall Court 2: sink clogged.,Sports Hall Court 2,Plumbing,Medium,Cleaned drainage trap,2024-06-15,
Electrical issue at Sports Hall Court 2: lights flickering.,Sports Hall Court 2,Electrical,Low,Replaced fuse,2024-06-02,
Plumbing issue at Lecture Hall A: slow drainage.,Lecture Hall A,Plumbing,High,Cleaned drainage trap,2024-05-27,
Electrical issue at Lecture Hall A: circuit breaker tripped.,Lecture Hall A,Electrical,High,Rewired loose connection,2024-05-24,
HVAC issue at Sports Hall Court 1: emitting warm air.,Sports Hall Court 1,HVAC,Low,Inspected ductwork,2024-04-06,
HVAC issue at Sports Hall Court 1: emitting warm air.,Sports Hall Court 1,HVAC,High,Recharged refrigerant,2024-06-03,
HVAC issue at Lecture Hall A: temperature fluctuating.,Lecture Hall A,HVAC,High,Replaced blower motor,2024-05-25,
Plumbing issue at Main Library: pipe joint dripping.,Main Library,Plumbing,Medium,Cleaned drainage trap,2024-03-02,
Mechanical issue at Block B Stairwell: door not closing properly.,Block B Stairwell,Mechanical,Low,Replaced worn relay,2024-05-30,
Network issue at Admin Block: WiFi outage reported.,Admin Block,Network,High,Adjusted bandwidth settings,2024-04-15,
Network issue at Main Library: network latency high.,Main Library,Network,High,Updated firmware,2024-04-08,
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,High,Cleaned air filters,2024-06-23,
Mechanical issue at Block C Restroom: control panel unresponsive.,Block C Restroom,Mechanical,Medium,Lubricated moving parts,2024-04-08,
HVAC issue at Main Library: not cooling properly.,Main Library,HVAC,Low,Calibrated thermostat,2024-06-20,
Mechanical issue at Sports Hall Court 1: elevator stuck.,Sports Hall Court 1,Mechanical,Low,Recalibrated motor,2024-05-16,
Mechanical issue at Admin Block: elevator stuck.,Admin Block,Mechanical,Low,Replaced worn relay,2024-03-12,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,High,Cleaned air filters,2024-03-06,
Plumbing issue at Block B Stairwell: pipe joint dripping.,Block B Stairwell,Plumbing,High,Cleaned drainage trap,2024-03-04,
Mechanical issue at Block B Stairwell: motor overheating.,Block B Stairwell,Mechanical,Medium,Updated control firmware,2024-06-26,
Plumbing issue at Sports Hall Court 2: water leakage detected.,Sports Hall Court 2,Plumbing,Medium,Cleared blockage,2024-05-01,
Plumbing issue at Block B Stairwell: slow drainage.,Block B Stairwell,Plumbing,Medium,Replaced pipe section,2024-05-09,
Plumbing issue at Sports Hall Court 2: slow drainage.,Sports Hall Court 2,Plumbing,Low,Replaced pipe section,2024-04-18,
Network issue at Main Library: access point not responding.,Main Library,Network,High,Replaced faulty switch,2024-05-04,
Mechanical issue at Admin Block: door not closing properly.,Admin Block,Mechanical,High,Updated control firmware,2024-04-13,
Mechanical issue at Cafeteria: door not closing properly.,Cafeteria,Mechanical,High,Reset control system,2024-06-23,
HVAC issue at Block B Stairwell: weak airflow.,Block B Stairwell,HVAC,Medium,Inspected ductwork,2024-05-19,
HVAC issue at Lecture Hall A: temperature fluctuating.,Lecture Hall A,HVAC,Medium,Replaced blower motor,2024-06-21,
Mechanical issue at Cafeteria: unusual vibration.,Cafeteria,Mechanical,Medium,Lubricated moving parts,2024-03-31,
Plumbing issue at Block B Stairwell: toilet overflow.,Block B Stairwell,Plumbing,Medium,Cleaned drainage trap,2024-06-08,
Network issue at Block C Restroom: WiFi intermittent drop.,Block C Restroom,Network,Low,Replaced faulty switch,2024-06-11,
Mechanical issue at Admin Block: door not closing properly.,Admin Block,Mechanical,Medium,Updated control firmware,2024-05-16,
Electrical issue at Sports Hall Court 2: lights flickering.,Sports Hall Court 2,Electrical,Medium,Replaced ballast,2024-06-20,
Mechanical issue at Engineering Block: control panel unresponsive.,Engineering Block,Mechanical,Medium,Recalibrated motor,2024-04-25,
Electrical issue at Block C Restroom: voltage instability.,Block C Restroom,Electrical,High,Reset circuit breaker,2024-04-21,
Network issue at Main Library: WiFi intermittent drop.,Main Library,Network,High,Restarted access point,2024-05-28,
HVAC issue at Sports Hall Court 1: weak airflow.,Sports Hall Court 1,HVAC,High,Recharged refrigerant,2024-06-07,
HVAC issue at Lecture Hall A: temperature fluctuating.,Lecture Hall A,HVAC,High,Inspected ductwork,2024-06-10,
Plumbing issue at Block B Stairwell: sink clogged.,Block B Stairwell,Plumbing,High,Sealed leaking joint,2024-06-05,
Electrical issue at Block C Restroom: voltage instability.,Block C Restroom,Electrical,Medium,Rewired loose connection,2024-03-12,
Electrical issue at Sports Hall Court 1: lights not turning on.,Sports Hall Court 1,Electrical,High,Reset circuit breaker,2024-06-17,
Plumbing issue at Sports Hall Court 1: water leakage detected.,Sports Hall Court 1,Plumbing,High,Adjusted water valve,2024-03-02,
Mechanical issue at Admin Block: door not closing properly.,Admin Block,Mechanical,Low,Lubricated moving parts,2024-03-12,
Network issue at Admin Block: WiFi intermittent drop.,Admin Block,Network,High,Reconfigured router,2024-06-12,
Electrical issue at Cafeteria: voltage instability.,Cafeteria,Electrical,Medium,Reset circuit breaker,2024-04-09,
Electrical issue at Engineering Block: lights not turning on.,Engineering Block,Electrical,Low,Replaced fuse,2024-05-20,
Mechanical issue at Block B Stairwell: unusual vibration.,Block B Stairwell,Mechanical,Low,Updated control firmware,2024-05-18,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,High,Cleaned air filters,2024-04-08,
Electrical issue at Sports Hall Court 1: circuit breaker tripped.,Sports Hall Court 1,Electrical,Low,Replaced ballast,2024-04-25,
Network issue at Sports Hall Court 1: network latency high.,Sports Hall Court 1,Network,Low,Adjusted bandwidth settings,2024-06-15,
Plumbing issue at Engineering Block: toilet overflow.,Engineering Block,Plumbing,High,Cleaned drainage trap,2024-05-01,
Network issue at Sports Hall Court 2: WiFi intermittent drop.,Sports Hall Court 2,Network,High,Adjusted bandwidth settings,2024-04-12,
HVAC issue at Block B Stairwell: temperature fluctuating.,Block B Stairwell,HVAC,Medium,Replaced blower motor,2024-03-16,
Plumbing issue at Sports Hall Court 1: pipe joint dripping.,Sports Hall Court 1,Plumbing,Medium,Sealed leaking joint,2024-03-21,
Network issue at Lecture Hall B: access point not responding.,Lecture Hall B,Network,High,Replaced faulty switch,2024-05-08,
HVAC issue at Block C Restroom: not cooling properly.,Block C Restroom,HVAC,Low,Cleaned air filters,2024-04-14,
Electrical issue at Cafeteria: lights not turning on.,Cafeteria,Electrical,Low,Rewired loose connection,2024-03-20,
HVAC issue at Lecture Hall A: making loud noise.,Lecture Hall A,HVAC,Medium,Calibrated thermostat,2024-06-21,
Network issue at Cafeteria: WiFi outage reported.,Cafeteria,Network,High,Restarted access point,2024-05-31,
Network issue at Main Library: access point not responding.,Main Library,Network,Medium,Adjusted bandwidth settings,2024-06-03,
Network issue at Block C Restroom: WiFi outage reported.,Block C Restroom,Network,Low,Adjusted bandwidth settings,2024-03-06,
Network issue at Engineering Block: access point not responding.,Engineering Block,Network,High,Restarted access point,2024-03-05,
Electrical issue at Sports Hall Court 2: power outage.,Sports Hall Court 2,Electrical,Low,Replaced fuse,2024-04-12,
Mechanical issue at Block C Restroom: door not closing properly.,Block C Restroom,Mechanical,High,Replaced worn relay,2024-03-30,
Network issue at Cafeteria: access point not responding.,Cafeteria,Network,High,Adjusted bandwidth settings,2024-03-15,
Plumbing issue at Block B Stairwell: slow drainage.,Block B Stairwell,Plumbing,High,Replaced pipe section,2024-03-13,
Mechanical issue at Lecture Hall B: motor overheating.,Lecture Hall B,Mechanical,Low,Recalibrated motor,2024-04-21,
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,Medium,Inspected ductwork,2024-03-15,
Mechanical issue at Cafeteria: unusual vibration.,Cafeteria,Mechanical,High,Lubricated moving parts,2024-06-20,
HVAC issue at Admin Block: making loud noise.,Admin Block,HVAC,Medium,Replaced blower motor,2024-04-03,
Plumbing issue at Block B Stairwell: water leakage detected.,Block B Stairwell,Plumbing,Low,Cleaned drainage trap,2024-05-16,
Network issue at Main Library: WiFi outage reported.,Main Library,Network,Medium,Restarted access point,2024-06-29,
Mechanical issue at Block B Stairwell: unusual vibration.,Block B Stairwell,Mechanical,Medium,Reset control system,2024-03-30,
HVAC issue at Cafeteria: not cooling properly.,Cafeteria,HVAC,High,Replaced blower motor,2024-06-27,
Electrical issue at Block C Restroom: circuit breaker tripped.,Block C Restroom,Electrical,High,Reset circuit breaker,2024-04-02,
Network issue at Engineering Block: WiFi intermittent drop.,Engineering Block,Network,Low,Updated firmware,2024-03-19,
HVAC issue at Sports Hall Court 2: weak airflow.,Sports Hall Court 2,HVAC,High,Replaced blower motor,2024-03-28,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,High,Calibrated thermostat,2024-03-09,
HVAC issue at Sports Hall Court 2: not cooling properly.,Sports Hall Court 2,HVAC,High,Inspected ductwork,2024-06-06,
HVAC issue at Main Library: not cooling properly.,Main Library,HVAC,Low,Cleaned air filters,2024-06-08,
Electrical issue at Main Library: circuit breaker tripped.,Main Library,Electrical,Medium,Rewired loose connection,2024-05-07,
Network issue at Sports Hall Court 1: access point not responding.,Sports Hall Court 1,Network,High,Reconfigured router,2024-06-02,
HVAC issue at Sports Hall Court 1: weak airflow.,Sports Hall Court 1,HVAC,Medium,Calibrated thermostat,2024-06-03,
Network issue at Main Library: access point not responding.,Main Library,Network,Low,Adjusted bandwidth settings,2024-04-10,
HVAC issue at Sports Hall Court 2: temperature fluctuating.,Sports Hall Court 2,HVAC,Medium,Cleaned air filters,2024-03-25,
Mechanical issue at Cafeteria: control panel unresponsive.,Cafeteria,Mechanical,Medium,Lubricated moving parts,2024-05-01,
Plumbing issue at Engineering Block: pipe joint dripping.,Engineering Block,Plumbing,Medium,Cleaned drainage trap,2024-04-04,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,Medium,Inspected ductwork,2024-03-30,
Electrical issue at Block C Restroom: lights flickering.,Block C Restroom,Electrical,High,Inspected voltage supply,2024-05-23,
Mechanical issue at Sports Hall Court 2: door not closing properly.,Sports Hall Court 2,Mechanical,High,Lubricated moving parts,2024-06-03,
Electrical issue at Sports Hall Court 2: voltage instability.,Sports Hall Court 2,Electrical,High,Inspected voltage supply,2024-05-14,
HVAC issue at Sports Hall Court 2: emitting warm air.,Sports Hall Court 2,HVAC,Low,Cleaned air filters,2024-06-08,
Electrical issue at Sports Hall Court 2: voltage instability.,Sports Hall Court 2,Electrical,High,Replaced fuse,2024-06-24,
Mechanical issue at Block C Restroom: unusual vibration.,Block C Restroom,Mechanical,High,Lubricated moving parts,2024-03-06,
Electrical issue at Sports Hall Court 1: lights flickering.,Sports Hall Court 1,Electrical,Medium,Replaced fuse,2024-04-29,
Network issue at Main Library: WiFi connectivity slow.,Main Library,Network,Low,Reconfigured router,2024-03-04,
Plumbing issue at Block C Restroom: pipe joint dripping.,Block C Restroom,Plumbing,Low,Cleared blockage,2024-03-07,
HVAC issue at Lecture Hall A: not cooling properly.,Lecture Hall A,HVAC,Medium,Recharged refrigerant,2024-03-05,
Mechanical issue at Lecture Hall B: unusual vibration.,Lecture Hall B,Mechanical,Medium,Updated control firmware,2024-06-11,
Mechanical issue at Block C Restroom: unusual vibration.,Block C Restroom,Mechanical,Low,Replaced worn relay,2024-05-20,
Electrical issue at Main Library: circuit breaker tripped.,Main Library,Electrical,High,Replaced ballast,2024-03-10,
Plumbing issue at Block B Stairwell: slow drainage.,Block B Stairwell,Plumbing,Low,Adjusted water valve,2024-06-29,
Network issue at Cafeteria: network latency high.,Cafeteria,Network,Medium,Replaced faulty switch,2024-06-08,
Mechanical issue at Block C Restroom: door not closing properly.,Block C Restroom,Mechanical,High,Recalibrated motor,2024-05-16,
Network issue at Lecture Hall B: WiFi connectivity slow.,Lecture Hall B,Network,Low,Updated firmware,2024-04-19,
Mechanical issue at Lecture Hall A: elevator stuck.,Lecture Hall A,Mechanical,Low,Updated control firmware,2024-05-15,
Plumbing issue at Lecture Hall A: pipe joint dripping.,Lecture Hall A,Plumbing,Low,Cleared blockage,2024-05-19,
HVAC issue at Lecture Hall A: not cooling properly.,Lecture Hall A,HVAC,High,Cleaned air filters,2024-06-18,
,,,,,,"Playground safety is not secured - loose bolts on swing,Playground Area,Safety,High,Tightened all structural bolts and applied thread-locker,2024-05-01"
,,,,,,"Court lights fail every evening - timer malfunction,Sports Court,Electrical,Medium,Reset digital timer and replaced backup battery,2024-05-01"
,,,,,,"Rubbish is disposed randomly outside the hallway,Block A Level 4,Sanitation,Low,Cleared debris and issued warning letter to unit 4-12,2024-05-02"
,,,,,,"Elevator jerked during descent,Block B Lift 2,Mechanical,High,Lubricated guide rails and recalibrated floor sensors,2024-05-02"
,,,,,,"Pool water appears cloudy and green,Poolside,Amenities,Medium,Backwashed filter and performed chlorine shock treatment,2024-05-03"
,,,,,,"Playground safety is not secured - sharp edge on slide,Playground Area,Safety,High,Sanded down metal burr and applied weather-proof paint,2024-05-04"
,,,,,,"Court lights fail every evening - tripped breaker,Sports Court,Electrical,Medium,Replaced 20A circuit breaker in DB Room B,2024-05-04"
,,,,,,"Clogged floor trap causing minor flood,Block C Level 2,Plumbing,Medium,Used high-pressure jetter to clear hair and grease buildup,2024-05-05"
,,,,,,"Rubbish is disposed randomly outside the hallway,Block A Level 4,Sanitation,Low,Installed CCTV warning sign in the hallway corner,2024-05-06"
,,,,,,"Fire extinguisher pressure gauge in red zone,Block B Lobby,Safety,High,Replaced unit with a newly charged extinguisher,2024-05-06"
,,,,,,"Playground safety is not secured - chain rusted on swing,Playground Area,Safety,High,Replaced swing chains with galvanized steel sets,2024-05-07"
,,,,,,"Court lights fail every evening - sensor blocked by tree,Sports Court,Electrical,Low,Trimmed overhanging branches near the photocell sensor,2024-05-07"
,,,,,,"Intercom not connecting to guardhouse,Block C Unit 10-05,Security,Medium,Re-terminated RJ45 connector at the wall socket,2024-05-08"
,,,,,,"Rubbish is disposed randomly outside the hallway,Block A Level 4,Sanitation,Medium,Fined resident for repeated sanitation violations,2024-05-09"
,,,,,,"Lobby sliding door stuck halfway,Main Lobby,Mechanical,Medium,Cleaned bottom track and replaced worn rollers,2024-05-09"
,,,,,,"Gym treadmill displays Error 02,Gymnasium,Equipment,Medium,Cleaned motor brushes and tightened drive belt,2024-05-10"
,,,,,,"Flickering lights in the basement parking,Basement P2,Electrical,Low,Replaced T5 LED tube and checked ballast connection,2024-05-10"
,,,,,,"Playground safety is not secured - rubber matting peeling,Playground Area,Safety,Medium,Applied industrial adhesive and weighed down edges,2024-05-11"
,,,,,,"Water seepage on ceiling after rain,Block B Level 12,Structural,High,Applied waterproof membrane coating to the roof deck,2024-05-12"
,,,,,,"Rubbish is disposed randomly outside the hallway,Block A Level 4,Sanitation,Low,Placed a temporary large bin at the elevator lobby,2024-05-13"
,,,,,,"VPN connection keeps dropping every 10 minutes,Remote Work,IT Support,High,Updated GlobalProtect client to version 6.2 and cleared system cache,2024-06-03"
,,,,,,"Blue screen of death on startup - Error 0x0000007B,Office Desk 4,IT Support,Critical,Ran CHKDSK and repaired corrupted master boot record via recovery console,2024-06-03"
,,,,,,"Cannot print PDF files to Xerox-Lobby-01,Main Lobby,IT Support,Medium,Reinstalled PCL6 print driver and cleared print spooler on the server,2024-06-04"
,,,,,,"Slow internet speed reported in Meeting Room B,Meeting Room,Network,Medium,Replaced faulty Cat6 patch cable and rebooted the local WAP,2024-06-04"
,,,,,,"Account locked after three failed login attempts,User Portal,Security,Low,Verified identity via MFA and performed manual password reset,2024-06-05"
,,,,,,"Laptop overheating and fan making loud grinding noise,Office Desk 12,Hardware,Medium,Opened chassis and replaced failing brushless cooling fan,2024-06-05"
,,,,,,"Monitor displays 'No Signal' when connected to docking station,Office Desk 8,Hardware,Low,Replaced DisplayPort cable and updated firmware on the Dell WD19 dock,2024-06-06"
,,,,,,"Email attachments blocked by security filter,Mail Server,Security,Medium,Whitelisted sender domain and released original email from quarantine,2024-06-06"
,,,,,,"Excel freezes when opening files larger than 50MB,Office Desk 2,IT Support,Medium,Disabled hardware graphics acceleration and cleared Temp folder,2024-06-07"
,,,,,,"Wi-Fi signal dead zone near the pantry,Pantry Area,Network,Low,Installed a secondary mesh range extender and optimized channel frequency,2024-06-07"
,,,,,,"Teams audio cuts out during video calls,Meeting Room C,IT Support,Medium,Updated Bluetooth drivers and set Jabra speak as the default device,2024-06-08"
,,,,,,"External hard drive not recognized by Windows,Office Desk 15,Hardware,Low,Assigned a new drive letter using Disk Management tool,2024-06-09"
,,,,,,"SQL Database timeout error during peak hours,Data Center,Software,High,Added index to the transaction table and increased buffer pool size,2024-06-09"
,,,,,,"Keyboard keys 'W' and 'S' are sticky and unresponsive,Office Desk 3,Hardware,Low,Cleaned key switches with isopropyl alcohol and replaced keycaps,2024-06-10"
,,,,,,"Company portal shows 503 Service Unavailable,Web Server,IT Support,High,Restarted IIS worker process and cleared application pool logs,2024-06-10"
,,,,,,"Mouse cursor jumping erratically across screen,Office Desk 11,Hardware,Low,Cleaned optical sensor and replaced the worn mousepad,2024-06-11"
,,,,,,"Antivirus software slowing down system boot time,User Laptops,Security,Medium,Configured scheduled scans for midnight and excluded system-critical paths,2024-06-11"
,,,,,,"Zoom call recording failed to save to cloud,Cloud Storage,IT Support,Medium,Resynced Zoom account with OneDrive and freed up storage space,2024-06-12"
,,,,,,"Webcam video appears grainy and dark,Meeting Room A,Hardware,Low,Adjusted lighting settings in camera app and cleaned the lens,2024-06-12"
,,,,,,"Unauthorized login attempt from unknown IP address,Security Log,Security,High,Blocked IP at the firewall and forced a company-wide password change,2024-06-13"
,,,,,,"Printer streaks black ink across all pages,Copy Room,Hardware,Medium,Replaced the waste toner bottle and cleaned the corona wire,2024-06-14"
,,,,,,"Forgot login credentials for the HR portal,Office Desk 22,IT Support,Low,Reset LDAP credentials and provided new login URL,2024-06-14"
,,,,,,"Legacy software won't run on Windows 11,Office Desk 5,Software,Medium,Configured Compatibility Mode for Windows 7 and enabled Admin rights,2024-06-15"
,,,,,,"Smartphone cannot sync with company email,Mobile Device,IT Support,Medium,Deleted Outlook profile and reconfigured via Intune Company Portal,2024-06-15"
,,,,,,"Paper jam in the middle tray of the high-speed scanner,Mail Room,Hardware,Low,Removed stuck debris and cleaned pick-up rollers with rubber restorer,2024-06-16"
,,,,,,"BitLocker recovery key requested on every boot,Office Desk 18,Security,High,Suspended BitLocker and updated the BIOS to fix TPM handshake,2024-06-17"
,,,,,,"Accidentally deleted a folder from the Shared Drive,Shared Drive,IT Support,Medium,Restored folder from the previous night's Shadow Copy backup,2024-06-18"
,,,,,,"Power supply unit (PSU) making a high-pitched whine,Server Room,Hardware,Medium,Replaced the 750W modular PSU with a spare unit,2024-06-18"
,,,,,,"Adobe Acrobat keeps asking for sign-in,Office Desk 7,Software,Low,Cleared Adobe credential cache and repaired the installation,2024-06-19"
,,,,,,"Network drive is red and shows 'Disconnected',Office Desk 9,Network,Medium,Re-mapped the drive using the FQDN instead of the IP address,2024-06-20"
,,,,,,"Headset microphone not picking up voice,Office Desk 21,Hardware,Low,Unmuted the physical switch and adjusted the input gain in Windows,2024-06-20"
,,,,,,"Chrome browser using 95% of RAM,User Laptops,Software,Medium,Installed 'The Great Suspender' extension and cleared browser history,2024-06-21"
,,,,,,"Laptop battery not charging past 60%,Office Desk 14,Hardware,Medium,Updated battery management firmware and recalibrated the sensor,2024-06-22"
,,,,,,"VPN connection keeps dropping every 10 minutes,Remote Work,IT Support,High,Switched protocol from IKEv2 to OpenVPN to bypass ISP throttling,2024-06-22"
,,,,,,"Cannot access internal Jira dashboard,Office Desk 1,Network,Medium,Flushed DNS and added Jira IP to the local hosts file,2024-06-23"
,,,,,,"Computer running very slowly with high disk usage,Office Desk 25,IT Support,Medium,Disabled SysMain service and ran a defrag on the HDD,2024-06-24"
,,,,,,"Spilled coffee on the laptop keyboard,Office Desk 4,Hardware,Critical,Powered off immediately and submerged in desiccant for 48 hours,2024-06-24"
,,,,,,"Two-factor authentication code not arriving on phone,Mobile Device,Security,Medium,Verified phone number and advised user to use Authenticator App,2024-06-25"
,,,,,,"Application crashes when clicking 'Save as PDF',Office Desk 10,Software,Medium,Reinstalled Microsoft Print to PDF feature in Windows,2024-06-26"
,,,,,,"Monitor has a dead pixel in the center,Office Desk 6,Hardware,Low,Ran JScreenFix for 2 hours; pixel was stuck and is now resolved,2024-06-26"
,,,,,,"Request for annual leave balance not updating in portal,HR System,Admin,Low,Resynced LDAP profile and manually refreshed the leave accrual table,2024-06-27"
,,,,,,"Discrepancy in monthly overtime pay calculation,Payroll,Finance,Medium,Recalculated hours from punch-in logs and issued back-pay in next cycle,2024-06-27"
,,,,,,"Employee cannot find the latest Remote Work Policy,Company Wiki,Policy,Low,Sent direct link to PDF v3.2 and updated the 'New Joinee' handbook,2024-06-28"
,,,,,,"Requesting a replacement for lost staff ID badge,Front Desk,Admin,Low,Deactivated old card and printed new RFID badge with updated photo,2024-06-28"
,,,,,,"Claim for travel reimbursement was rejected,Finance Portal,Finance,Medium,Advised user to attach missing tax invoices and resubmit for approval,2024-06-29"
,,,,,,"Query regarding eligibility for the Dental Benefit,Benefits Dept,Policy,Low,Confirmed eligibility after 6 months of service per Section 4.2 of handbook,2024-06-30"
,,,,,,"Inquiry about maternity leave duration and handover,HR Office,Policy,Medium,Provided 90-day timeline and handover template for department lead,2024-06-30"
,,,,,,"Payroll slip not received via email this month,Payroll,Finance,Low,Updated email address in the ERP system and re-sent the encrypted PDF,2024-07-01"
,,,,,,"Difficulty booking Meeting Room 4 via Outlook,Office Admin,Admin,Low,Reset calendar permissions for the room and cleared existing ghost bookings,2024-07-01"
,,,,,,"Conflict regarding assigned parking bay,Security Desk,Admin,Medium,Verified tenancy agreement and re-assigned Bay 45 to the correct unit,2024-07-02"
,,,,,,"Request to change bank account for salary deposit,Finance Dept,Finance,Medium,Processed signed Change of Account form and updated bank routing info,2024-07-03"
,,,,,,"Clarification on dress code for 'Casual Friday',HR Office,Policy,Low,Reiterated that smart casual is allowed but flip-flops are prohibited,2024-07-04"
,,,,,,"Feedback regarding poor air quality in North Wing,Facilities,Admin,Medium,Increased fresh air intake on AHU-02 and replaced carbon filters,2024-07-04"
,,,,,,"Lost key to the personal locker in the gym,Gymnasium,Admin,Low,Used master key to open locker and issued a new lock set for $10 fee,2024-07-05"
,,,,,,"Request for employment verification letter for bank loan,HR Office,Admin,Low,Generated signed letter on company letterhead and sent to user's email,2024-07-06"
,,,,,,"New employee missing from the company directory,IT/HR Sync,Admin,Low,Manually added user to the Global Address List (GAL) in Exchange,2024-07-06"
,,,,,,"Complaint about noise levels from the construction next door,Office Area,Admin,Low,Provided noise-canceling headphones to the affected department,2024-07-07"
,,,,,,"Inquiry on how to refer a friend for the open Developer role,HR Office,Policy,Low,Shared the 'Referral Bonus Program' link and the internal job board,2024-07-08"
,,,,,,"Unclear instructions on how to use the new coffee machine,Pantry,Admin,Low,Laminated a simple 3-step guide and posted it on the machine,2024-07-09"
,,,,,,"Requesting an ergonomic chair due to back pain,Office Desk 30,Admin,Medium,Conducted workplace assessment and delivered Herman Miller chair,2024-07-10"
,,,,,,"Salary not credited on the expected payday,Finance Dept,Finance,High,Identified bank processing delay; sent company-wide status update,2024-07-10"
,,,,,,"Inquiry about the 'Cycle to Work' scheme benefits,Sustainability,Policy,Low,Explained the 20% discount on bike gear and the dedicated lockers,2024-07-11"
,,,,,,"Incorrect tax deduction on the latest paycheck,Finance Dept,Finance,Medium,Corrected the tax bracket status and adjusted the deduction for next month,2024-07-12"
,,,,,,"Request for professional development budget for a coding course,Dept Lead,Finance,Medium,Approved $500 budget upon proof of completion and certificate,2024-07-13"
,,,,,,"Medical claim status showing as 'Pending' for 2 weeks,Insurance Portal,Finance,Medium,Contacted insurance provider to expedite the review of the hospital bill,2024-07-14"
,,,,,,"Employee asking about the 'Bereavement Leave' policy,HR Office,Policy,Medium,Confirmed 3 days paid leave allowed for immediate family members,2024-07-15"
,,,,,,"Stationery cupboard is empty of notebooks and pens,Admin Office,Admin,Low,Placed bulk order with supplier and restocked the shelves,2024-07-16"
,,,,,,"Inquiry about public holiday replacement for Sunday,HR Office,Policy,Low,Confirmed that Monday will be a substitute public holiday per local law,2024-07-17"
,,,,,,"Difficulty accessing the performance review portal,IT Support,Admin,Medium,Reset the review cycle for the user and granted manager-level access,2024-07-18"
,,,,,,"Staff asking if they can bring pets to the office,HR Office,Policy,Low,Clarified that only registered service animals are permitted,2024-07-19"
,,,,,,"Company laptop was damaged during personal travel,IT Support,Admin,Medium,Initiated insurance claim and issued a temporary loaner laptop,2024-07-20"
,,,,,,"Request for early salary payout for emergency,Finance Dept,Finance,High,Approved 50% advance payout due to verified medical emergency,2024-07-21"
,,,,,,"Subscription for Slack Pro has expired for the team,IT Dept,Admin,Medium,Renewed the enterprise license and updated the billing credit card,2024-07-22"
,,,,,,"Inquiry about the 'Employee Assistance Program' (EAP),HR Office,Policy,Low,Shared the confidential 24/7 hotline number for counseling,2024-07-23"
,,,,,,"Request to upgrade to a standing desk,Office Desk 55,Admin,Low,Added user to the Q3 procurement list for office furniture,2024-07-24"
,,,,,,"Missing receipts for the corporate credit card,Finance Dept,Finance,Medium,Instructed user to file a 'Lost Receipt Declaration' form,2024-07-25"
,,,,,,"Employee asking for the WiFi password for visitors,Reception,Admin,Low,Provided the 'Guest_Access' password and the 24-hour expiry rule,2024-07-26"
,,,,,,"Conflict between two employees over a shared desk,HR Office,Admin,Medium,Mediated the discussion and created a fixed desk rotation schedule,2024-07-27"
,,,,,,"Request for an extra monitor for data analysis work,Office Desk 40,Hardware,Low,Provided spare 24-inch Dell monitor and HDMI cable,2024-07-28"
,,,,,,"Inquiry on how to resign and the notice period,HR Office,Policy,Medium,Advised to submit formal email; confirmed 2-month notice period,2024-07-29"
,,,,,,"Tailgating incident reported at turnstile 3,Main Entrance,Security,Medium,Reviewed CCTV footage and issued a formal warning to the offending staff,2024-07-30"
,,,,,,"Fire alarm triggered in Block B - False Alarm,Block B,Safety,High,Inspected smoke detector; found dust buildup and cleaned the sensor,2024-07-30"
,,,,,,"Security badge reader not responding to any cards,East Wing,Security,High,Rebooted the local door controller and checked the 12V power supply,2024-07-31"
,,,,,,"Panic button in the basement parking is stuck,Basement P3,Safety,Medium,Replaced the physical spring mechanism and tested the alert signal,2024-07-31"
,,,,,,"Unauthorised person found in the server room,Server Room,Security,Critical,Escorted individual out and updated the biometric access list,2024-08-01"
,,,,,,"Emergency exit door blocked by delivery boxes,Loading Bay,Safety,High,Cleared the walkway and briefed the logistics team on safety protocols,2024-08-02"
,,,,,,"CCTV Camera 14 shows a black screen,North Perimeter,Security,Low,Replaced the faulty BNC connector and tightened the coaxial cable,2024-08-02"
,,,,,,"First aid kit in the gym is missing supplies,Gymnasium,Safety,Low,Restocked bandages; antiseptic; and gauze; updated the log sheet,2024-08-03"
,,,,,,"Suspicious package left unattended in the lobby,Main Lobby,Security,High,Cordoned off area and followed the 'Check-Confirm-Clear' protocol,2024-08-04"
,,,,,,"Broken glass found on the walkway near the cafe,Ground Floor,Safety,Medium,Swept the area and installed temporary 'Caution: Wet Floor' sign,2024-08-04"
